Time,Humidity,Temperature,Voltage,,,Time,Temperature
47:34.4,34.5,-11.30000019,12.076,,,47:34.4,-11.30000019
57:35.1,34.5,-11.39999962,12.072,,,57:35.1,-11.39999962
07:38.2,41.59999847,-10,12.068,,,07:38.2,-10
17:38.8,41.5,-10.10000038,12.056,,,17:38.8,-10.10000038
27:39.4,43,-9.100000381,12.056,,,27:39.4,-9.100000381
37:42.6,43.5,-7.199999809,12.052,,,37:42.6,-7.199999809
47:45.7,44,-6.300000191,12.048,,,47:45.7,-6.300000191
57:46.4,44,-6.300000191,12.052,,,57:46.4,-6.300000191
07:47.0,44.79999924,-5.599999905,12.048,,,07:47.0,-5.599999905
17:47.6,40.29999924,-5,12.048,,,17:47.6,-5
27:48.2,33.40000153,-7.099999905,12.044,,,27:48.2,-7.099999905
37:48.9,32.09999847,-9.600000381,12.032,,,37:48.9,-9.600000381
47:49.4,37.70000076,-10.80000019,12.032,,,47:49.4,-10.80000019
57:50.1,40.90000153,-10.19999981,12.02,,,57:50.1,-10.19999981
07:53.2,43.20000076,-8.399999619,12.02,,,07:53.2,-8.399999619
17:53.8,43.20000076,-8.399999619,12.012,,,17:53.8,-8.399999619
27:54.5,43.40000153,-7.5,12.012,,,27:54.5,-7.5
37:55.1,43.90000153,-6.599999905,12.008,,,37:55.1,-6.599999905
47:58.3,46.09999847,-5,12.008,,,47:58.3,-5
57:58.9,46.20000076,-5,12.008,,,57:58.9,-5
07:59.5,34.09999847,-6,12.004,,,07:59.5,-6
18:00.1,30.70000076,-8.899999619,12,,,18:00.1,-8.899999619
28:00.7,34.40000153,-11.19999981,11.996,,,28:00.7,-11.19999981
38:01.3,39.09999847,-10.89999962,11.984,,,38:01.3,-10.89999962
48:01.9,41.29999924,-10.10000038,11.984,,,48:01.9,-10.10000038
58:02.5,42.70000076,-9.100000381,11.976,,,58:02.5,-9.100000381
08:03.1,43,-8.199999809,11.976,,,08:03.1,-8.199999809
18:03.7,43.20000076,-7.300000191,11.976,,,18:03.7,-7.300000191
28:04.3,44.29999924,-6.400000095,11.976,,,28:04.3,-6.400000095
38:04.9,46,-5.599999905,11.976,,,38:04.9,-5.599999905
48:05.5,45.59999847,-4.800000191,11.972,,,48:05.5,-4.800000191
58:06.1,33.20000076,-6.400000095,11.964,,,58:06.1,-6.400000095
08:06.7,30.60000038,-9.399999619,11.96,,,08:06.7,-9.399999619
18:07.2,35.5,-11.30000019,11.948,,,18:07.2,-11.30000019
28:07.8,39.59999847,-10.89999962,11.944,,,28:07.8,-10.89999962
38:08.4,41.59999847,-10.10000038,11.944,,,38:08.4,-10.10000038
48:09.0,42.79999924,-9.100000381,11.936,,,48:09.0,-9.100000381
58:12.2,43.5,-7.300000191,11.932,,,58:12.2,-7.300000191
08:15.3,45,-6.400000095,11.932,,,08:15.3,-6.400000095
18:16.0,45.09999847,-6.400000095,11.932,,,18:16.0,-6.400000095
28:16.6,47,-5.5,11.932,,,28:16.6,-5.5
38:17.2,48.70000076,-4.699999809,11.932,,,38:17.2,-4.699999809
48:17.9,35.79999924,-5.699999809,11.932,,,48:17.9,-5.699999809
58:18.4,32.20000076,-8.399999619,11.924,,,58:18.4,-8.399999619
08:19.0,34.40000153,-10.69999981,11.912,,,08:19.0,-10.69999981
18:22.2,41.90000153,-9.899999619,11.908,,,18:22.2,-9.899999619
28:22.8,41.90000153,-10,11.904,,,28:22.8,-10
38:23.4,43.40000153,-9,11.9,,,38:23.4,-9
48:24.1,43.79999924,-8.100000381,11.896,,,48:24.1,-8.100000381
58:24.7,44,-7.199999809,11.896,,,58:24.7,-7.199999809
08:25.2,43.09999847,-6.400000095,11.896,,,08:25.2,-6.400000095
18:25.8,36.20000076,-7.800000191,11.884,,,18:25.8,-7.800000191
28:26.4,37.29999924,-9.600000381,11.884,,,28:26.4,-9.600000381
38:27.1,35,-11.30000019,11.876,,,38:27.1,-11.30000019
48:27.7,38,-12.5,11.868,,,48:27.7,-12.5
58:28.3,40.70000076,-12,11.864,,,58:28.3,-12
08:28.9,99.90000153,3,11.896,,,08:28.9,3
18:29.5,99.90000153,10.39999962,11.928,,,18:29.5,10.39999962
28:30.1,80.59999847,13,11.948,,,28:30.1,13
